"RENT","OMB13CBSA","CB","COSTBURDEN","HHPOC","MHINCP","HHGRAD","HHSPAN_new","HHMAR_NEW","HHRACEALL","HHSEX_NEW","HHAGE","HINCP","UTILAMT","HHIMMIGRANT","HSHLDTYPE","RATINGHS","RATINGNH","HUDSUB","BLD","LOTSIZE","UPKEEP","ADEQUACY","NUMPEOPLE","TOTROOMS","CROWD","UNIT_SIZE_NEW","RENTSUB_NEW","FS","RENTCNTRL","NHQSCHOOL","NHQPCRIME","NHQSCRIME","NEARBARCL","NEARABAND","WEIGHT"
980,3,0.39,1,0,3000,11,1,0,"2",1,35,36000,190,0,3,8,8,3,7,1,1,1,4,4,1,3,0,1,0,1,0,0,0,0,344.5423751
270,3,0.140571428571429,0,0,2916.66666666667,15,0,0,"2",0,26,35000,140,0,5,7,8,3,6,1,1,1,2,4,0.5,4,0,0,0,-1,0,0,0,0,407.78809314
1000,3,0.264470588235294,0,0,4250,10,1,0,"2",1,33,51000,124,0,7,10,10,3,2,2,1,1,2,6,0.333333333333333,-1,0,0,0,1,0,0,0,0,368.41181141
750,3,0.671428571428571,1,0,1400,4,1,1,"2",0,72,16800,190,1,1,10,10,3,2,3,1,1,4,4,1,-1,0,0,0,1,0,0,1,0,313.38368985
630,3,0.543243243243243,1,1,1233.33333333333,11,0,0,"3",0,50,14800,40,0,4,7,1,3,4,1,1,1,1,3,0.333333333333333,-1,0,1,0,1,1,1,0,0,485.53837185
800,3,0.24,0,1,4166.66666666667,12,0,0,"5",1,45,50000,200,0,6,10,10,3,3,2,1,3,1,6,0.166666666666667,5,1,0,0,1,1,0,0,0,400.38463689
1300,3,0.254545454545455,0,0,6050,12,0,1,"2",0,44,72600,240,0,1,7,7,3,2,3,1,1,5,7,0.714285714285714,5,0,0,0,1,0,0,0,0,408.0365172
790,3,0.5484,1,1,1666.66666666667,18,0,1,"4",1,25,20000,124,0,1,7,8,3,6,1,1,1,2,4,0.5,3,0,0,0,1,0,0,0,0,407.78809314
500,10,0.756,1,0,833.333333333333,11,0,0,"2",1,37,10000,130,0,6,9,9,3,6,1,1,1,1,3,0.333333333333333,-1,0,0,0,-1,0,0,0,0,611.78496902
900,3,0.111028037383178,0,0,8916.66666666667,15,0,0,"2",1,41,107000,90,0,3,7,8,3,9,1,1,1,3,4,0.75,4,0,0,0,0,0,0,0,0,343.59103974
